PROJECT_REFID;PROJECTID;VERSION;PROJECT_TYPE;PROJECT_NAME;REMARKS;BCIREGION;ADDRESS;TOWN;PROVINCE;COUNTRY_NAME;PROJECT_STATUS;PROJECTSTAGE;CONST_START;CONST_END;TIME_STAMP;VALUE;USVALUE;LANGUAGE;CAT_1_NAME;CAT_2_NAME;CAT_3_NAME;CAT_4_NAME;CAT_5_NAME;DEV_TYPE;DEV_TYPEID;FLOOR_AREA;FOREIGN_PARTICIPATION;KEYWORD;LAST;MAJOR;OWNER_TYPE;OWNER_TYPEID;POSTCODE;PROJECTSTAGEID;PROJECT_NOTES;SITE_AREA;STOREYS;SUBCAT_1_NAME;SUBCAT_2_NAME;SUBCAT_3_NAME;SUBCAT_4_NAME;SUBCAT_5_NAME;SUBCAT_6_NAME;SUBCAT_7_NAME;SUBCAT_8_NAME;TIMETABLE_REMARKS;PROJECT_STATUSID;STATUS_DESC
106233552288344;191062002;6;FACTORY - new - single storey;KATALIS MERAH PUTIH FACTORY;* Single storey chatalys factory (capacity approx. 800 metric tons per day (MTPD)) * Quality control room * Packing room * Raw materials warehouse * Finished products storage  Building elements include :  * Flooring : hardened concrete floor / epoxy flooring * Structural : steel construction * Ceiling : gypsum board / metal ceiling * Walling : light brick walls / metal walling * Facade : metal panel cladding * Roofing : metal sheet roof * Aluminium framed doors & windows / metal doors * Fire protection system * Security system;Java;Kawasan Pabrik Pupuk Kujang, Jalan Jendral Ahmad Yani No. 39, Kecamatan Cikampek, Kelurahan Kalihurip;Karawang;West Java;Indonesia;Construction Commenced;Construction;07/05/2022;23/04/2023;08/06/2022 12:03:00;100000;6.871;;Industrial;;;;;New construction;3;6000;0;;1;1;Commercial;4;41373;8;;20000;1;Manufacturing & Processing;Factory;;;;;;;;115;CONSTRUCTION COMMENCED
106366567267625;218897002;1;OFFICES for FACTORY - new;ENDO INDONESIA  FACTORY OFFICE;* Factory management office * Office lobby & reception area * Work stations & office space * Meeting rooms  Building elements include : * Flooring : ceramic tile / granite tile * Structural : reinforced concrete / composite steel * Ceiling : sandwich panel * Walling : brick wall * Roofing : concrete roof tile * Roof truss : lightweight steel * Piling : jacking pile * Split type air conditioning * Aluminium framed doors & windows / fabricated wood doors;Java;Jalan Raya Menganti No. 14, Kelurahan Kedurus, Kecamatan Karangpilang;Surabaya;East Java;Indonesia;Building Approval;Design & Documentation;24/08/2022;28/03/2023;08/06/2022 11:14:00;6000;0.412;;Office;Industrial;;;;New construction;3;1000;0;;1;0;Commercial;4;60223;4;;;;Office;Factory;;;;;;;;165;CONSTRUCTION PERMIT (IMB) APPROVED | MAIN CONTRACTOR EXPECTED TO BE APPOINTED BY NEGOTIATION | ARCHITECT NOT DISCLOSED 
106296652999276;210022002;6;INSTITUTE - new - 11 storey;INSTITUT TEKNOLOGI SEPULUH NOPEMBER (ITS) - GEDUNG TOWER 2;* 11 storey campus building (approx. 11,000 sq m) * Classrooms * Lecturer rooms * Administrative office * Library room * Laboratories * Auditorium * Multipurpose room (capacity 160 persons)  * At grade car park  Building elements include: * Flooring : ceramic tile * Structural : reinforced concrete * Ceiling : gypsum board * Walling : light brick walls * Facade : glass wall cladding / aluminium composite cladding / decorative cladding * Roofing : concrete slab roof * Aluminium framed doors & windows / fabricated wood doors * Lifts * Split type air conditioning * Fire protection system * Security system * Sanitary ware / plumbing * Building automation system * Solar panels;Java;Kampus ITS, Jalan Raya ITS, Kelurahan Keputih, Kecamatan Sukolilo;Surabaya;East Java;Indonesia;Construction Commenced;Construction;27/05/2022;29/04/2023;08/06/2022 10:51:00;100387;6.897;;Education;Community & Cultural;Office;;;New construction;3;11000;0;;1;1;Government;3;60111;8;;;11;University, College, Institute;Research Centre, Laboratory, Observatory;Community Hall, Community Centre;Office;Library;;;;;115;CONSTRUCTION COMMENCED
106339525415423;215800002;7;HOSPITAL - extension - 2 levels;RUMAH SAKIT CAMPURDARAT (PHASE 2);* Extension from single to 3 storey hospital buildings (approx. 2,600 sq m) * Inpatient care units * Medical laboratory * Polyclinic units * Medical consulting rooms * Waiting lounge * Pharmacy  Building elements include: * Flooring : ceramic tile / homogeneous tile * Structural : reinforced concrete * Ceiling : gypsum board * Walling : light brick walls * Roofing : concrete slab roof * Aluminium framed doors & windows / solid wood doors;Java;Jalan Kanigoro No.13, Kelurahan Ngingas, Kecamatan Campurdarat;Tulungagung;East Java;Indonesia;Construction Commenced;Construction;06/06/2022;28/11/2022;07/06/2022 18:09:00;19654;1.35;;Health;Education;;;;Extension;5;2600;0;;1;1;Government;3;66272;8;;;3;Hospital;Research Centre, Laboratory, Observatory;;;;;;;;115;CONSTRUCTION COMMENCED
106247640532867;213008002;4;HOTEL (118 rooms) - new - 5  storey;MYZE HOTEL SUMENEP (4 STARS);* 5 storey hotel (approx. 11,034 sq m)   * 118 hotel rooms (2 suites, 4 junior suites & 112 deluxe) * Hotel lobby & reception lounge * Restaurant  * Swimming pool * Ballroom / meeting room * Gym, kids club  Building elements include: * Flooring : ceramic tile / homogeneous tile / marble / carpet / wood flooring * Structural :  reinforced concrete * Ceiling : gypsum board * Walling : light brick walls / precast concreta wall panel * Facade : glass wall cladding / aluminium composite cladding * Roofing : concrete slab roof * Aluminium framed doors & windows / solid wood doors * Piling : bored pile * Lifts * Split type air conditioning / duct connected  air conditioning * Fire protection system * Security system * Sanitary ware / plumbing;Java;Simpang Tiga, Jalan Arya Wiraraja, Desa Kolor, Kecamatan Sumenep;Sumenep;East Java;Indonesia;Construction Commenced;Construction;28/01/2022;28/01/2023;07/06/2022 18:04:00;104000;7.227;;Hospitality;Community & Cultural;Retail;Sport & Recreation;Infrastructure;New construction;3;11034;0;;1;1;Commercial;4;69453;8;;19034;5;Hotel;Conference Centre;Restaurant, Cafe, Food Outlet, Canteen;Indoor Sports Court, Bowling Alley, Gymnasium;Swimming Pool, Aquatic Centre, Sauna;Landscaping;Park, Playground;;;115;MAIN CONTRACT RESCINDED | NEW MAIN CONTRACTOR LISTED | PILING & FOUNDATION CONTRACTOR LISTED
106282579624415;207333002;6;UNIVERSITY - 3 buildings - new - 7 & 8 storey;UNIVERSITAS PENDIDIKAN INDONESIA - GEDUNG FPEB, FPSD & PASCASARJANA;* 7 storey of Fakultas Pendidikan Ekonomi & Bisnis (FPEB) building (approx. 9,172 sq m) * 8 storey of Fakultas Pendidikan Sekolah Dasar (FPSD) building (approx. 9,626 sq m) * 8 storey of Pascasarjana building (approx. 7,878 sq m) * Classrooms * Lecturer rooms * Library room * Administrative office * Roadworks  Building elements include: * Flooring : ceramic tile * Structural : reinforced concrete * Ceiling : gypsum board  * Walling : light brick walls  * Roofing : concrete slab roof  * Aluminium framed doors & windows / fabricated wood doors  * Piling : bored pile * Lifts * Fire protection system * Sanitary ware / plumbing;Java;Jalan Dr. Setiabudhi No. 229, Kelurahan Isola, Kecamatan Sukasari;Kota Bandung;West Java;Indonesia;Subcontractor(s) Appointed;Construction;01/10/2021;01/09/2023;07/06/2022 17:57:00;203018;13.949;;Education;Infrastructure;Community & Cultural;;;New construction;3;23976;0;;1;1;Government;3;40154;8;;;7;University, College, Institute;Road, Surface, Car Park;Library;;;;;;;164;FORMWORK SUBCONTRACTOR APPOINTED BY NEGOTIATION
106186572666761;212269002;4;FACTORY - new - single storey;FENG TAY INDONESIA FACTORY (RICH VALLEY BANDUNG);* Single storey shoes factory (approx. 42,000 sq m) * Production lines * Quality control room * Storage area  Building elements include : * Flooring : hardened concrete floor / epoxy flooring * Structural : steel * Ceiling : gypsum board / metal ceiling * Walling : light brick walls / metal walling * Roofing : metal sheet roof * Roof truss : steel frame * Aluminium framed doors / metal doors * Fire protection system * Security system;Java;Jalan Raya Majalaya Cicalengka Paseh, Kelurahan Sukamanah, Kecamatan Paseh;Kabupaten Bandung;West Java;Indonesia;Subcontractor(s) Appointed;Construction;01/12/2021;16/11/2022;07/06/2022 17:57:00;252000;17.77;;Industrial;;;;;New construction;3;42000;0;;1;1;Commercial;4;40383;8;;;1;Manufacturing & Processing;Factory;;;;;;;;164;ROOFING SUBCONTRACTOR LISTED
106347563090980;206463002;9;CAR PARK for HOSPITAL - new - 4 storey;RUMAH SAKIT KANKER DHARMAIS - GEDUNG PARKIR;* 4 storey car park building * Secure fencing * Security barriers  Building elements include: * Flooring : exposed concrete floor * Structural : reinforced concrete * Roofing : concrete slab roof * Walling : light brick walls;Java;Jalan Letjen S. Parman Kavling 84 - 86, Kelurahan Slipi, Kecamatan Palmerah;Jakarta Barat;Special Capital Region of Jakarta;Indonesia;Design Tender / Competition;Concept;15/08/2023;30/12/2024;07/06/2022 17:56:00;40000;2.748;;Infrastructure;Health;;;;New construction;3;;0;;1;1;Government;3;11420;2;;;4;Multi-Storey Car Park;Hospital;;;;;;;;101;ARCHITECT RESCINDED | OPEN TENDERS RE-ADVERTISED FOR ARCHITECT | CONTRACT EXPECTED TO BE AWARDED 19 AUGUST 2022 | OPEN TENDERS FOR CONSTRUCTION MANAGER CANCELLED | OPEN TENDERS RE-ADVERTISED FOR CONSTRUCTION MANAGER | CONTRACT EXPECTED TO BE AWARDED 19 AUGUST 2022
106304443601444;213992002;4;HOSPITAL - new - 4 storey;RSUD DR. SAIFUL ANWAR MALANG -  GEDUNG PELAYANAN PAVILIUN;* 4 storey hospital building (approx. 8,000 sq m) * Inpatient care unit * Emergency unit * Polyclinic unit * Medical consulting rooms * Registration area & waiting room * Pharmacy room * Medical devices & equipments storage  Building elements include: * Flooring : ceramic tile / vinyl sheet flooring / homogeneous tile * Structural : reinforced concrete * Ceiling : gypsum board / sandwich panels * Walling : light brick walls * Roofing : concrete roof tile * Roof truss : lightweight steel * Aluminium framed doors & windows / solid wood doors / automatic sliding doors * Fire protection system * Lifts  * Sanitary ware / plumbing;Java;Jalan Jaksa Agung Suprapto No. 2, Kelurahan Rampal Celaket, Kecamatan Klojen;Kota Malang;East Java;Indonesia;Tender Closed - Tenderers Listed ;Pre-Construction;07/07/2022;29/12/2022;07/06/2022 17:45:00;119999;8.245;;Health;;;;;New construction;3;8000;0;;1;1;Commercial;4;65122;6;;;4;Hospital;;;;;;;;;169;OPEN TENDERS FOR MAIN CONTRACT CLOSED | BID LISTED | PREFERRED TENDERER LISTED | CONTRACT EXPECTED TO BE AWARDED 14 JUNE  2022  | CONTRACT AWARDED FOR SUPERVISORY CONSULTANT
106078572832095;204940002;3;UNIVERSITY - new - 3 buildings - 8 storey;UNIVERSITAS PENDIDIKAN INDONESIA - GEDUNG PPG, FPTK & COE;* 3 x 8 storey campus building (approx. 27,000 sq m) * Classrooms * Lecturer rooms * Library room * Administrative office  Building elements include: * Flooring : ceramic tile * Structural : reinforced concrete * Ceiling : gypsum board  * Walling : light brick walls  * Roofing : concrete slab roof  * Aluminium framed doors & windows / fabricated wood doors  * Split type air conditioning / duct connected air conditioning * Piling : bored pile * Lifts * Fire protection system * Sanitary ware / plumbing;Java;Jalan Dr. Setiabudhi No. 229, Kelurahan Isola, Kecamatan Sukasari;Kota Bandung;West Java;Indonesia;Subcontractor(s) Appointed;Construction;01/10/2020;01/03/2023;07/06/2022 17:40:00;246932;17.229;;Education;Community & Cultural;;;;New construction;3;27000;0;;1;1;Government;3;40154;8;;;3;University, College, Institute;Library;;;;;;;;164;FORMWORK SUBCONTRACTOR APPOINTED BY NEGOTIATION
